Date : 2020-12-03 16:17:18
Directory : /Users/macbook/fsadalab
Total : 335 files,  140113 codes, 31400 comments, 25680 blanks, all 197193 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/macbook/fsadalab/resources/js/layouts/TopNavBarUser.vue                                         | HTML       |         69 |         17 |         28 |        114 |
| /Users/macbook/fsadalab/resources/js/libs/TODELETEApi.js                                               | JavaScript |         28 |          8 |          6 |         42 |
| /Users/macbook/fsadalab/resources/js/mixins/index.js                                                   | JavaScript |          3 |          3 |          4 |         10 |
| /Users/macbook/fsadalab/resources/js/mixins/userPermissions.js                                         | JavaScript |          9 |          1 |          5 |         15 |
| /Users/macbook/fsadalab/resources/js/pages/Auth/PasswordReset/PasswordReset.vue                        | HTML       |         84 |          3 |         20 |        107 |
| /Users/macbook/fsadalab/resources/js/pages/Auth/Register/Register.vue                                  | HTML       |         97 |          0 |         17 |        114 |
| /Users/macbook/fsadalab/resources/js/pages/Auth/index.js                                               | JavaScript |          2 |          0 |          1 |          3 |
| /Users/macbook/fsadalab/resources/js/pages/Back/Company/Company.vue                                    | HTML       |         50 |          0 |          6 |         56 |
| /Users/macbook/fsadalab/resources/js/pages/Back/Home/BackHome.vue                                      | HTML       |         52 |          0 |         15 |         67 |
| /Users/macbook/fsadalab/resources/js/pages/Back/Permissions/Permissions.vue                            | HTML       |         89 |          0 |         12 |        101 |
| /Users/macbook/fsadalab/resources/js/pages/Back/Role/Role.vue                                          | HTML       |         65 |         27 |          8 |        100 |
| /Users/macbook/fsadalab/resources/js/pages/Back/Users/Users.vue                                        | HTML       |         68 |          0 |         11 |         79 |
| /Users/macbook/fsadalab/resources/js/pages/Back/index.js                                               | JavaScript |          5 |          0 |          2 |          7 |
| /Users/macbook/fsadalab/resources/js/pages/Front/Account/Account.vue                                   | HTML       |          0 |          0 |          1 |          1 |
| /Users/macbook/fsadalab/resources/js/pages/Front/Company/Company.vue                                   | HTML       |        145 |         14 |         54 |        213 |
| /Users/macbook/fsadalab/resources/js/pages/Front/Crop/Crop.vue                                         | HTML       |        226 |         18 |         54 |        298 |
| /Users/macbook/fsadalab/resources/js/pages/Front/Farm/Farm.vue                                         | HTML       |        142 |         19 |         49 |        210 |
| /Users/macbook/fsadalab/resources/js/pages/Front/Farm/FarmCreate.vue                                   | HTML       |        122 |          8 |         31 |        161 |
| /Users/macbook/fsadalab/resources/js/pages/Front/Home/FrontHome.vue                                    | HTML       |         59 |         16 |         19 |         94 |
| /Users/macbook/fsadalab/resources/js/pages/Front/Plant/Plant.vue                                       | HTML       |        220 |         19 |         70 |        309 |
| /Users/macbook/fsadalab/resources/js/pages/Front/Terrain/Terrain.vue                                   | HTML       |        162 |          9 |         63 |        234 |
| /Users/macbook/fsadalab/resources/js/pages/Front/Terrain/TerrainCreate.vue                             | HTML       |        149 |          5 |         41 |        195 |
| /Users/macbook/fsadalab/resources/js/pages/Front/index.js                                              | JavaScript |          9 |          0 |          2 |         11 |
| /Users/macbook/fsadalab/resources/js/pages/NotFound.vue                                                | HTML       |         32 |          0 |         15 |         47 |
| /Users/macbook/fsadalab/resources/js/pages/Welcome/Welcome.vue                                         | HTML       |        240 |         38 |         79 |        357 |
| /Users/macbook/fsadalab/resources/js/pages/index.js                                                    | JavaScript |          5 |          0 |          1 |          6 |
| /Users/macbook/fsadalab/resources/js/routes/index.js                                                   | JavaScript |         14 |          2 |         15 |         31 |
| /Users/macbook/fsadalab/resources/js/routes/middlewares.js                                             | JavaScript |         43 |         10 |         15 |         68 |
| /Users/macbook/fsadalab/resources/js/routes/routes.js                                                  | JavaScript |        153 |         57 |         23 |        233 |
| /Users/macbook/fsadalab/resources/js/services/Api.js                                                   | JavaScript |         30 |          9 |          7 |         46 |
| /Users/macbook/fsadalab/resources/js/services/AuthService.js                                           | JavaScript |         50 |         32 |         32 |        114 |
| /Users/macbook/fsadalab/resources/js/services/BaseService.js                                           | JavaScript |         83 |         19 |         25 |        127 |
| /Users/macbook/fsadalab/resources/js/services/CompanyService.js                                        | JavaScript |          8 |         30 |          8 |         46 |
| /Users/macbook/fsadalab/resources/js/services/CropService.js                                           | JavaScript |          8 |         30 |          8 |         46 |
| /Users/macbook/fsadalab/resources/js/services/FarmService.js                                           | JavaScript |          8 |         30 |          8 |         46 |
| /Users/macbook/fsadalab/resources/js/services/FormService.js                                           | JavaScript |         27 |          0 |          8 |         35 |
| /Users/macbook/fsadalab/resources/js/services/PermissionService.js                                     | JavaScript |          8 |         30 |          8 |         46 |
| /Users/macbook/fsadalab/resources/js/services/PlantService.js                                          | JavaScript |          8 |         30 |          8 |         46 |
| /Users/macbook/fsadalab/resources/js/services/PlantTypeService.js                                      | JavaScript |          8 |         30 |          8 |         46 |
| /Users/macbook/fsadalab/resources/js/services/RoleService.js                                           | JavaScript |          8 |         30 |          8 |         46 |
| /Users/macbook/fsadalab/resources/js/services/TerrainService.js                                        | JavaScript |          8 |         30 |          8 |         46 |
| /Users/macbook/fsadalab/resources/js/services/UserService.js                                           | JavaScript |          8 |          6 |          4 |         18 |
| /Users/macbook/fsadalab/resources/js/services/util.js                                                  | JavaScript |         66 |         22 |          6 |         94 |
| /Users/macbook/fsadalab/resources/js/stores/index.js                                                   | JavaScript |          8 |          0 |          2 |         10 |
| /Users/macbook/fsadalab/resources/js/stores/modules/address/farmActions.js                             | JavaScript |         13 |          0 |          5 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/address/farmGetters.js                             | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/address/farmMutations.js                           | JavaScript |         19 |          0 |          4 |         23 |
| /Users/macbook/fsadalab/resources/js/stores/modules/address/farmState.js                               | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/address/index.js                                   | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseSoil/farmActions.js                         | JavaScript |         13 |          0 |          5 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseSoil/farmGetters.js                         | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseSoil/farmMutations.js                       | JavaScript |         19 |          0 |          4 |         23 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseSoil/farmState.js                           | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseSoil/index.js                               | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseSoilGuideline/farmActions.js                | JavaScript |         13 |          0 |          5 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseSoilGuideline/farmGetters.js                | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseSoilGuideline/farmMutations.js              | JavaScript |         19 |          0 |          4 |         23 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseSoilGuideline/farmState.js                  | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseSoilGuideline/index.js                      | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseWater/farmActions.js                        | JavaScript |         13 |          0 |          5 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseWater/farmGetters.js                        | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseWater/farmMutations.js                      | JavaScript |         19 |          0 |          4 |         23 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseWater/farmState.js                          | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/analyseWater/index.js                              | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/auth/authActions.js                                | JavaScript |         21 |         25 |          6 |         52 |
| /Users/macbook/fsadalab/resources/js/stores/modules/auth/authGetters.js                                | JavaScript |         26 |          4 |          6 |         36 |
| /Users/macbook/fsadalab/resources/js/stores/modules/auth/authMutations.js                              | JavaScript |         18 |          0 |          1 |         19 |
| /Users/macbook/fsadalab/resources/js/stores/modules/auth/authState.js                                  | JavaScript |          4 |          0 |          4 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/auth/index.js                                      | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/company/companyActions.js                          | JavaScript |          4 |          5 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/company/companyGetters.js                          | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/company/companyMutations.js                        | JavaScript |          8 |          0 |          0 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/company/companyState.js                            | JavaScript |          3 |          1 |          2 |          6 |
| /Users/macbook/fsadalab/resources/js/stores/modules/company/index.js                                   | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/crop/cropActions.js                                | JavaScript |         13 |          0 |          4 |         17 |
| /Users/macbook/fsadalab/resources/js/stores/modules/crop/cropGetters.js                                | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/crop/cropMutations.js                              | JavaScript |          5 |         10 |          3 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/crop/cropState.js                                  | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/crop/index.js                                      | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/farm/farmActions.js                                | JavaScript |         13 |          0 |          5 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/farm/farmGetters.js                                | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/farm/farmMutations.js                              | JavaScript |         19 |          0 |          4 |         23 |
| /Users/macbook/fsadalab/resources/js/stores/modules/farm/farmState.js                                  | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/farm/index.js                                      | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/index.js                                           | JavaScript |         18 |          6 |          1 |         25 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plague/farmActions.js                              | JavaScript |         13 |          0 |          5 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plague/farmGetters.js                              | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plague/farmMutations.js                            | JavaScript |         19 |          0 |          4 |         23 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plague/farmState.js                                | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plague/index.js                                    | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plagueSpot/farmActions.js                          | JavaScript |         13 |          0 |          5 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plagueSpot/farmGetters.js                          | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plagueSpot/farmMutations.js                        | JavaScript |         19 |          0 |          4 |         23 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plagueSpot/farmState.js                            | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plagueSpot/index.js                                | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plagueType/farmActions.js                          | JavaScript |         13 |          0 |          5 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plagueType/farmGetters.js                          | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plagueType/farmMutations.js                        | JavaScript |         19 |          0 |          4 |         23 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plagueType/farmState.js                            | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plagueType/index.js                                | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plant/index.js                                     | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plant/plantActions.js                              | JavaScript |         10 |          3 |          4 |         17 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plant/plantGetters.js                              | JavaScript |         27 |          4 |          4 |         35 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plant/plantMutations.js                            | JavaScript |         15 |          0 |          3 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plant/plantState.js                                | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantStage/farmActions.js                          | JavaScript |         13 |          0 |          5 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantStage/farmGetters.js                          | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantStage/farmMutations.js                        | JavaScript |         19 |          0 |          4 |         23 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantStage/farmState.js                            | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantStage/index.js                                | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantType/index.js                                 | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantType/plantTypeActions.js                      | JavaScript |         10 |          3 |          4 |         17 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantType/plantTypeGetters.js                      | JavaScript |          5 |         26 |          4 |         35 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantType/plantTypeMutations.js                    | JavaScript |          5 |         10 |          3 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantType/plantTypeState.js                        | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantUptake/farmActions.js                         | JavaScript |         13 |          0 |          5 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantUptake/farmGetters.js                         | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantUptake/farmMutations.js                       | JavaScript |         19 |          0 |          4 |         23 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantUptake/farmState.js                           | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/plantUptake/index.js                               | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/product/farmActions.js                             | JavaScript |         13 |          0 |          5 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/product/farmGetters.js                             | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/product/farmMutations.js                           | JavaScript |         19 |          0 |          4 |         23 |
| /Users/macbook/fsadalab/resources/js/stores/modules/product/farmState.js                               | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/product/index.js                                   | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/productComposition/farmActions.js                  | JavaScript |         13 |          0 |          5 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/productComposition/farmGetters.js                  | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/productComposition/farmMutations.js                | JavaScript |         19 |          0 |          4 |         23 |
| /Users/macbook/fsadalab/resources/js/stores/modules/productComposition/farmState.js                    | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/productComposition/index.js                        | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/productType/farmActions.js                         | JavaScript |         13 |          0 |          5 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/productType/farmGetters.js                         | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/productType/farmMutations.js                       | JavaScript |         19 |          0 |          4 |         23 |
| /Users/macbook/fsadalab/resources/js/stores/modules/productType/farmState.js                           | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/productType/index.js                               | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/soilType/farmActions.js                            | JavaScript |         13 |          0 |          5 |         18 |
| /Users/macbook/fsadalab/resources/js/stores/modules/soilType/farmGetters.js                            | JavaScript |          5 |          4 |          3 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/soilType/farmMutations.js                          | JavaScript |         19 |          0 |          4 |         23 |
| /Users/macbook/fsadalab/resources/js/stores/modules/soilType/farmState.js                              | JavaScript |          3 |          2 |          3 |          8 |
| /Users/macbook/fsadalab/resources/js/stores/modules/soilType/index.js                                  | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/terrain/index.js                                   | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/terrain/terrainActions.js                          | JavaScript |         10 |          1 |          2 |         13 |
| /Users/macbook/fsadalab/resources/js/stores/modules/terrain/terrainGetters.js                          | JavaScript |         10 |          1 |          4 |         15 |
| /Users/macbook/fsadalab/resources/js/stores/modules/terrain/terrainMutations.js                        | JavaScript |         15 |          0 |          0 |         15 |
| /Users/macbook/fsadalab/resources/js/stores/modules/terrain/terrainState.js                            | JavaScript |          3 |          0 |          4 |          7 |
| /Users/macbook/fsadalab/resources/js/stores/modules/user/index.js                                      | JavaScript |         11 |          0 |          1 |         12 |
| /Users/macbook/fsadalab/resources/js/stores/modules/user/userActions.js                                | JavaScript |         21 |         25 |          6 |         52 |
| /Users/macbook/fsadalab/resources/js/stores/modules/user/userGetters.js                                | JavaScript |         11 |          4 |          2 |         17 |
| /Users/macbook/fsadalab/resources/js/stores/modules/user/userMutations.js                              | JavaScript |         11 |          0 |          0 |         11 |
| /Users/macbook/fsadalab/resources/js/stores/modules/user/userState.js                                  | JavaScript |          3 |          0 |          2 |          5 |
| /Users/macbook/fsadalab/resources/js/wrapper/BodyContainer.vue                                         | HTML       |         34 |         46 |         22 |        102 |
| /Users/macbook/fsadalab/resources/js/wrapper/HeadContainer.vue                                         | HTML       |         41 |          4 |         21 |         66 |
| /Users/macbook/fsadalab/resources/js/wrapper/MainContainerAdmin.vue                                    | HTML       |         83 |         12 |         16 |        111 |
| /Users/macbook/fsadalab/resources/js/wrapper/MainContainerUser.vue                                     | HTML       |        774 |         10 |        106 |        890 |
| /Users/macbook/fsadalab/resources/lang/en/auth.php                                                     | PHP        |          6 |         10 |          5 |         21 |
| /Users/macbook/fsadalab/resources/lang/en/pagination.php                                               | PHP        |          5 |         10 |          5 |         20 |
| /Users/macbook/fsadalab/resources/lang/en/passwords.php                                                | PHP        |          8 |         10 |          5 |         23 |
| /Users/macbook/fsadalab/resources/lang/en/validation.php                                               | PHP        |        114 |         30 |          9 |        153 |
| /Users/macbook/fsadalab/resources/sass/_variables.scss                                                 | SCSS       |         14 |          3 |          3 |         20 |
| /Users/macbook/fsadalab/resources/sass/app.scss                                                        | SCSS       |          3 |          3 |          3 |          9 |
| /Users/macbook/fsadalab/resources/views/welcome.blade.php                                              | PHP        |         35 |          0 |         12 |         47 |
| /Users/macbook/fsadalab/routes/api.php                                                                 | PHP        |         71 |         10 |         17 |         98 |
| /Users/macbook/fsadalab/routes/channels.php                                                            | PHP        |          5 |         10 |          4 |         19 |
| /Users/macbook/fsadalab/routes/console.php                                                             | PHP        |          6 |         10 |          4 |         20 |
| /Users/macbook/fsadalab/routes/web.php                                                                 | PHP        |          6 |         10 |          7 |         23 |
| /Users/macbook/fsadalab/server.php                                                                     | PHP        |          8 |          9 |          5 |         22 |
| /Users/macbook/fsadalab/tests/CreatesApplication.php                                                   | PHP        |         12 |          5 |          6 |         23 |
| /Users/macbook/fsadalab/tests/Feature/ExampleTest.php                                                  | PHP        |         12 |          5 |          5 |         22 |
| /Users/macbook/fsadalab/tests/TestCase.php                                                             | PHP        |          7 |          0 |          4 |         11 |
| /Users/macbook/fsadalab/tests/Unit/ExampleTest.php                                                     | PHP        |         10 |          5 |          4 |         19 |
| /Users/macbook/fsadalab/vendor/facade/ignition/resources/compiled/ignition.js                          | JavaScript |          5 |         27 |          0 |         32 |
| /Users/macbook/fsadalab/vendor/facade/ignition/resources/compiled/index.html                           | HTML       |         12 |          0 |          1 |         13 |
| /Users/macbook/fsadalab/webpack.mix.js                                                                 | JavaScript |          3 |         10 |          3 |         16 |
| Total                                                                                                  |            |    140,113 |     31,400 |     25,680 |    197,193 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
